Ticker,DTYYYYMMDD,Date,Open,High,Low,Close,Volume,Log_Return,Volatility_20d,SMA_10,SMA_30,RSI_14
BTC,20141016,2014-10-16,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,26990000,-0.031435894996154054,0.036131864218875445,372.5176055908203,384.11280110677086,52.336358844047616
BTC,20141017,2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,13600700,0.0031370869973757617,0.03608409106050235,377.2747039794922,381.66026713053384,58.31447689774205
BTC,20141018,2014-10-18,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,11416800,0.01982518661870101,0.03389896774699964,381.12490234375,380.5603332519531,75.46971069978464
BTC,20141019,2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,5914570,-0.004855387987120306,0.03390202826822007,383.5769012451172,380.3853332519531,79.65872233889633
BTC,20141020,2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,16419000,-0.017351722052715512,0.03347756035839793,385.7052001953125,379.5167002360026,73.24166797942846
BTC,20141021,2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,14188900,0.009436987957972875,0.03349116430789714,388.1227996826172,379.10516662597655,72.64451113570823
BTC,20141022,2014-10-22,386.1180114746094,388.57598876953125,382.2489929199219,383.1579895019531,11641300,-0.008619789324393464,0.03313338329644973,388.5836975097656,378.47203267415364,65.4802153978605
BTC,20141023,2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,26456900,-0.06675031813644425,0.03519960598152479,385.3839965820313,375.8928995768229,47.00290624662662
BTC,20141024,2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,15585700,-0.00020087830465635576,0.028316776531562324,381.1314971923828,373.73090006510415,48.49482444004525
BTC,20141025,2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,18127500,-0.031390769190214725,0.02865850617907742,376.3812957763672,371.58746643066405,43.5888382475714
BTC,20141026,2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,11272500,0.021178223352178425,0.028331349221922184,373.5960968017578,369.9301005045573,38.99985893015117
BTC,20141027,2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,13033000,-0.004846733365239283,0.028170411704659393,370.5191986083984,368.3790679931641,30.951293641619174
BTC,20141028,2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,7845880,0.013028475982844394,0.02615031443832776,367.1368011474609,367.7269683837891,26.597270494067402
BTC,20141029,2014-10-29,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,18192700,-0.06357224291092703,0.028613487785148415,361.7413024902344,366.39776814778645,22.68640739759003
BTC,20141030,2014-10-30,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,30177900,0.028534896464091998,0.02949293777168785,357.9873016357422,365.0098012288411,32.40137473580192
BTC,20141031,2014-10-31,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,12545400,-0.02043287172521867,0.029745920692213178,353.1719024658203,363.5000020345052,29.646025317097994
BTC,20141101,2014-11-01,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,16677200,-0.037868067090557754,0.02849436814014972,347.4310028076172,361.85590209960935,21.806793520910873
BTC,20141102,2014-11-02,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,8603620,0.0004389084643792419,0.02711678305939384,344.1785034179687,360.7352355957031,22.264542730983067
BTC,20141103,2014-11-03,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,12948500,0.005086850113011883,0.02604664516953818,341.0994018554687,360.6915018717448,24.801979148318992
BTC,20141104,2014-11-04,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,15655500,0.008929583542813927,0.026353350925474337,339.4215026855469,361.02423502604165,24.324676873856276
BTC,20141105,2014-11-05,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,19817200,0.02685022019464371,0.026944629876262338,337.8997009277344,361.3378011067708,30.96217988864376
BTC,20141106,2014-11-06,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,18797000,0.028469860439230645,0.027971257143746295,337.52980041503906,361.7745676676432,45.42557606975193
BTC,20141107,2014-11-07,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,16834200,-0.01987907050661142,0.02754431471764098,336.00950012207034,361.4237345377604,42.52562365380676
BTC,20141108,2014-11-08,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,8535470,0.008934452738033633,0.027764389365135814,336.99920043945315,360.7724680582682,49.09550786013411
BTC,20141109,2014-11-09,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,24205600,0.050171934079645264,0.030301102530590648,338.79510192871095,360.82920125325523,53.929993335053744
BTC,20141110,2014-11-10,362.2650146484375,374.8160095214844,357.5610046386719,366.92401123046875,30450100,0.01002490925623583,0.030313702707862003,341.6554016113281,360.9833679199219,56.28546241600625
BTC,20141111,2014-11-11,365.85699462890625,371.30999755859375,363.7349853515625,367.69500732421875,15838900,0.002099037344141317,0.030296339384934434,345.8500030517578,360.62156778971354,54.7091841305365
BTC,20141112,2014-11-12,367.9849853515625,429.7179870605469,367.9849853515625,423.5610046386719,45783200,0.14144374235950072,0.040833816372990966,355.6169036865234,361.7264678955078,81.23224861553285
BTC,20141113,2014-11-13,427.27301025390625,457.0929870605469,401.12298583984375,420.7349853515625,58945000,-0.006694405456441629,0.04093108409111119,364.93500366210935,362.3886342366537,78.15728040471033
BTC,20141114,2014-11-14,418.4169921875,419.25201416015625,384.78900146484375,397.8179931640625,29589200,-0.05600854991385603,0.04251818633807406,371.6676025390625,362.49013366699216,69.84859618367123
BTC,20141115,2014-11-15,399.6499938964844,405.52801513671875,371.00799560546875,376.13299560546875,15727500,-0.056051804516045835,0.04459918769329973,375.3323028564453,362.2760335286458,65.84502047009492
BTC,20141116,2014-11-16,374.7300109863281,390.79901123046875,374.60198974609375,387.8819885253906,11905600,0.0307583475088815,0.044981286197929835,379.1915008544922,362.4134999593099,68.16865201968616
BTC,20141117,2014-11-17,388.3489990234375,410.1990051269531,377.50201416015625,387.4079895019531,41518800,-0.00122276592224785,0.04495550041192693,383.6907989501953,362.27903340657554,67.66563468494672
BTC,20141118,2014-11-18,387.7850036621094,392.4020080566406,371.11700439453125,375.197998046875,32222500,-0.032024492730085764,0.042969325329305655,386.66179809570315,361.80076700846354,62.51007260671902
BTC,20141119,2014-11-19,373.89599609375,386.4809875488281,373.89599609375,380.55499267578125,18931800,0.014176812837002903,0.042684589386396556,388.3908966064453,361.72443339029945,61.7311176107295
BTC,20141120,2014-11-20,380.3070068359375,382.0249938964844,356.781005859375,357.8399963378906,25233200,-0.061544745368212604,0.044899227286053306,387.4824951171875,360.7699330647786,52.27448969195336
BTC,20141121,2014-11-21,357.8789978027344,357.8789978027344,344.11199951171875,350.8479919433594,29850100,-0.019732890613733702,0.04421246684384661,385.79779357910155,359.69293314615885,52.24196822112899
BTC,20141122,2014-11-22,351.60400390625,364.84100341796875,350.87799072265625,352.9200134277344,15273000,0.0058883821245041875,0.04420803011245474,378.7336944580078,359.50970052083335,51.98642394034351
BTC,20141123,2014-11-23,353.17498779296875,370.8450012207031,353.17498779296875,367.572998046875,15151600,0.04068049266746527,0.044964744010461626,373.41749572753906,359.8173004150391,51.17125875273639
BTC,20141124,2014-11-24,366.947998046875,387.2090148925781,366.66900634765625,376.9010009765625,30930100,0.02506062301536968,0.04516873730037277,371.32579650878904,360.8049672444661,52.63085469113623
BTC,20141125,2014-11-25,376.885986328125,394.70098876953125,374.78399658203125,375.3479919433594,25442200,-0.004128981904106339,0.04496740185885468,371.24729614257814,361.49309997558595,52.00974397627227
BTC,20141126,2014-11-26,376.0190124511719,377.697998046875,365.8160095214844,368.3699951171875,18601700,-0.018765719594816287,0.044911421904838135,369.2960968017578,362.00579935709635,30.49911720010266
BTC,20141127,2014-11-27,370.50201416015625,373.99200439453125,368.2820129394531,369.6700134277344,8748030,0.003522897512379116,0.04459706575419426,367.5222991943359,362.40753275553385,31.760295425411087
BTC,20141128,2014-11-28,369.3739929199219,382.8380126953125,358.4549865722656,376.4469909667969,22946500,0.018166490984887675,0.04470034555422043,367.64719848632814,363.76939900716144,41.37173500248286
BTC,20141129,2014-11-29,376.1520080566406,387.60101318359375,372.1449890136719,375.4909973144531,15375600,-0.0025427473603651814,0.043387477851335086,367.1407989501953,364.7755991617839,49.68869483784377
BTC,20141130,2014-11-30,375.510009765625,382.5270080566406,373.3089904785156,378.0469970703125,9194440,0.006784023042740145,0.04336061715561341,369.1614990234375,366.09979858398435,44.76422071965238
BTC,20141201,2014-12-01,378.2489929199219,383.6619873046875,376.66900634765625,379.2449951171875,11763000,0.003163902586034823,0.04336205400346438,372.00119934082034,367.88299865722655,45.687571797182535
BTC,20141202,2014-12-02,379.25,384.0379943847656,377.8630065917969,381.31500244140625,12364100,0.005443390244398497,0.028325374971896067,374.8406982421875,369.7304321289063,53.61931484886641
BTC,20141203,2014-12-03,381.72198486328125,383.0260009765625,374.34600830078125,375.010009765625,13340100,-0.01667309327292109,0.028439743256098597,375.5843994140625,371.312299601237,46.75553653286455
BTC,20141204,2014-12-04,375.7179870605469,378.6549987792969,367.7590026855469,369.60400390625,14529600,-0.014520545533967717,0.025988568393401218,374.8546997070313,372.61603291829425,58.63172502527049
BTC,20141205,2014-12-05,369.4419860839844,379.1919860839844,365.7560119628906,376.85400390625,15181800,0.01942568211280815,0.02332679567395973,375.0053009033203,373.86163330078125,69.00968457098035
BTC,20141206,2014-12-06,376.7569885253906,378.447998046875,370.94500732421875,374.7850036621094,7009320,-0.005505316911438858,0.022200134132628408,375.6468017578125,374.7114664713542,65.98341673875137
BTC,20141207,2014-12-07,374.83599853515625,376.2919921875,373.2749938964844,375.0950012207031,6491650,0.0008267924847559234,0.02220726706102412,376.1893005371094,375.80079956054686,56.957602478774476
BTC,20141208,2014-12-08,374.9649963378906,376.02899169921875,361.885986328125,361.90899658203125,18898700,-0.035786540910186744,0.02249250303825986,374.7355010986328,376.34816589355466,37.05666675958498
BTC,20141209,2014-12-09,361.8949890136719,363.0669860839844,344.95098876953125,352.218994140625,32915500,-0.027139664971795558,0.02284222343897759,372.40830078125,375.97999877929686,32.49155984986521
