,log_return_5d,rvol_5d,atr_pct_14,rsi_14,macd_hist,macd_signal,vol_ratio_20,obv_ma_ratio,bb_pct_b_20,bb_width_pct_20,range_pct,close_to_low,regime_num,target
1257,-0.018913093306486956,0.10766464344407904,0.02028639618138427,0.14285714285714277,-1.0967366520836646,0.06065345953430569,1.4245423820319643,-1.2207164674979434,0.13961701953166383,0.3540535045878488,0.02386634844868735,0.10000000000000142,-1,0.021252275659658953
1258,0,0.1656687457307054,0.020168067226890792,0.19230769230769212,-0.873351285520152,-0.08405962326557108,-0.6555219700473717,-0.8887231101427799,0.27370475876022216,0.32758012009358767,0.002352941176470622,0,-1,0.004694844304207885
1259,0.023095714794649395,0.2734950461857809,0.020874103065883918,0.2631578947368419,-0.4263288350501469,-0.17808207038212334,0.6386149980145706,-0.3304708342608113,0.5367178540957875,0.2331078325944876,0.027397260273972508,1,-1,-0.03721359634043421
1260,0.027908788117076658,0.25975265484611293,0.02096985583224118,0.2524271844660195,-0.14329448225622093,-0.23471053933789954,-0.6431643308070456,-0.6595551280106784,0.5146363901206304,0.11276203043492156,0.013761467889908289,0.33333333333333726,-1,-0.018519047767237642
1261,0.01641302964133027,0.2926382353844101,0.02076411960132894,0.26598465473145794,-0.06506044586321437,-0.2865388309520838,-0.8040083282777128,-0.9725630146953437,0.405360274857079,0.0786683995985223,0.013953488372093056,0,-1,-0.009345862418237658
1262,0.021252275659658953,0.281109447468846,0.018858477970627535,0.33121019108280225,-0.038129146054931534,-0.34323153654857513,-1.2770910167207974,-1.058200965240958,0.38104470856359823,-0.06299102764257754,0.007009345794392457,0.33333333333331755,-1,-0.004683849312426314
1263,0.004694844304207885,0.2684109416818377,0.019404483104717332,0.35029940119760483,-0.014551826266088997,-0.40163973786836915,-1.2499852103339577,-1.0541319482255342,0.37690904049140833,-0.305526134026391,0.014051522248243593,0.16666666666666863,-1,-0.009411834182346706
1264,-0.03721359634043421,0.08013751064621812,0.018449559918754264,0.38235294117647106,-0.09229958038128094,-0.48253763571935365,-0.5329828600192386,-1.2539598388226016,0.2727524196862431,-0.3953669917841733,0.009478672985781957,0,-1,0.0023668650102660225
1265,-0.018519047767237642,0.17546266282331827,0.017523364485981335,0.4166666666666664,0.06074526396913084,-0.5102816970396347,-0.6731427475731762,-0.6840300076769505,0.4536665982767318,-0.8323327962764984,0.01635514018691579,0.8571428571428542,-1,-0.014117881545784819
1266,-0.009345862418237658,0.1526199759457362,0.01727028839704898,0.4081632653061223,0.145785860946276,-0.4969215172980147,-1.4858865951331046,-0.5301509131803054,0.411732798117345,-1.7019644380555459,0.007042253521126694,0.33333333333334125,-1,-0.014184634991956413
